"ch_version","name","value","changed","description","min","max","readonly","type","is_obsolete"
"24.3.12.76.altinitystable","replicated_deduplication_window_seconds_for_async_inserts","604800",0,"Similar to ""replicated_deduplication_window_for_async_inserts"", but determines old blocks by their lifetime. Hash of an inserted block will be deleted (and the block will not be deduplicated after) if it outside of one ""window"". You can set very big replicated_deduplication_window to avoid duplicating INSERTs during that period of time.",\N,\N,0,"UInt64",0
"24.3.12.76.altinitystable","async_block_ids_cache_update_wait_ms","100",0,"How long each insert iteration will wait for async_block_ids_cache update",\N,\N,0,"Milliseconds",0
"24.3.12.76.altinitystable","use_async_block_ids_cache","1",0,"Use in-memory cache to filter duplicated async inserts based on block ids",\N,\N,0,"Bool",0
"24.3.12.76.altinitystable","max_replicated_logs_to_keep","1000",0,"How many records may be in log, if there is inactive replica. Inactive replica becomes lost when when this number exceed.",\N,\N,0,"UInt64",0
"24.3.12.76.altinitystable","min_replicated_logs_to_keep","10",0,"Keep about this number of last records in ZooKeeper log, even if they are obsolete. It doesn't affect work of tables: used only to diagnose ZooKeeper log before cleaning.",\N,\N,0,"UInt64",0
"24.3.12.76.altinitystable","prefer_fetch_merged_part_time_threshold","3600",0,"If time passed after replication log entry creation exceeds this threshold and sum size of parts is greater than ""prefer_fetch_merged_part_size_threshold"", prefer fetching merged part from replica instead of doing merge locally. To speed up very long merges.",\N,\N,0,"Seconds",0
"24.3.12.76.altinitystable","prefer_fetch_merged_part_size_threshold","10737418240",0,"If sum size of parts exceeds this threshold and time passed after replication log entry creation is greater than ""prefer_fetch_merged_part_time_threshold"", prefer fetching merged part from replica instead of doing merge locally. To speed up very long merges.",\N,\N,0,"UInt64",0
"24.3.12.76.altinitystable","execute_merges_on_single_replica_time_threshold","0",0,"When greater than zero only a single replica starts the merge immediately, others wait up to that amount of time to download the result instead of doing merges locally. If the chosen replica doesn't finish the merge during that amount of time, fallback to standard behavior happens.",\N,\N,0,"Seconds",0
"24.3.12.76.altinitystable","remote_fs_execute_merges_on_single_replica_time_threshold","10800",0,"When greater than zero only a single replica starts the merge immediately if merged part on shared storage and 'allow_remote_fs_zero_copy_replication' is enabled.",\N,\N,0,"Seconds",0
"24.3.12.76.altinitystable","try_fetch_recompressed_part_timeout","7200",0,"Recompression works slow in most cases, so we don't start merge with recompression until this timeout and trying to fetch recompressed part from replica which assigned this merge with recompression.",\N,\N,0,"Seconds",0
"24.3.12.76.altinitystable","always_fetch_merged_part","0",0,"If true, replica never merge parts and always download merged parts from other replicas.",\N,\N,0,"Bool",0
"24.3.12.76.altinitystable","max_suspicious_broken_parts","100",0,"Max broken parts, if more - deny automatic deletion.",\N,\N,0,"UInt64",0
"24.3.12.76.altinitystable","max_suspicious_broken_parts_bytes","1073741824",0,"Max size of all broken parts, if more - deny automatic deletion.",\N,\N,0,"UInt64",0
"24.3.12.76.altinitystable","max_files_to_modify_in_alter_columns","75",0,"Not apply ALTER if number of files for modification(deletion, addition) more than this.",\N,\N,0,"UInt64",0
"24.3.12.76.altinitystable","max_files_to_remove_in_alter_columns","50",0,"Not apply ALTER, if number of files for deletion more than this.",\N,\N,0,"UInt64",0
"24.3.12.76.altinitystable","replicated_max_ratio_of_wrong_parts","0.5",0,"If ratio of wrong parts to total number of parts is less than this - allow to start.",\N,\N,0,"Float",0
"24.3.12.76.altinitystable","replicated_can_become_leader","1",0,"If true, Replicated tables replicas on this node will try to acquire leadership.",\N,\N,0,"Bool",0
"24.3.12.76.altinitystable","zookeeper_session_expiration_check_period","60",0,"ZooKeeper session expiration check period, in seconds.",\N,\N,0,"Seconds",0
"24.3.12.76.altinitystable","initialization_retry_period","60",0,"Retry period for table initialization, in seconds.",\N,\N,0,"Seconds",0
"24.3.12.76.altinitystable","detach_old_local_parts_when_cloning_replica","1",0,"Do not remove old local parts when repairing lost replica.",\N,\N,0,"Bool",0
"24.3.12.76.altinitystable","detach_not_byte_identical_parts","0",0,"Do not remove non byte-idential parts for ReplicatedMergeTree, instead detach them (maybe useful for further analysis).",\N,\N,0,"Bool",0
"24.3.12.76.altinitystable","max_replicated_fetches_network_bandwidth","0",0,"The maximum speed of data exchange over the network in bytes per second for replicated fetches. Zero means unlimited.",\N,\N,0,"UInt64",0
"24.3.12.76.altinitystable","max_replicated_sends_network_bandwidth","0",0,"The maximum speed of data exchange over the network in bytes per second for replicated sends. Zero means unlimited.",\N,\N,0,"UInt64",0
"24.3.12.76.altinitystable","wait_for_unique_parts_send_before_shutdown_ms","0",0,"Before shutdown table will wait for required amount time for unique parts (exist only on current replica) to be fetched by other replicas (0 means disabled).",\N,\N,0,"Milliseconds",0
"24.3.12.76.altinitystable","fault_probability_before_part_commit","0",0,"For testing. Do not change it.",\N,\N,0,"Float",0
"24.3.12.76.altinitystable","fault_probability_after_part_commit","0",0,"For testing. Do not change it.",\N,\N,0,"Float",0
"24.3.12.76.altinitystable","shared_merge_tree_disable_merges_and_mutations_assignment","0",0,"Only available in ClickHouse Cloud",\N,\N,0,"Bool",0
